_id,user_community,tweet_community,ecommerce_community,blog_community,label
5d75152add07cce828f87499,1,102,211,2,1
5d75152add07cce828f874a4,1,102,211,2,1
5d75152add07cce828f874b4,1,102,211,2,1
5d75152add07cce828f874ec,1,102,211,2,1
5d75152add07cce828f8753b,1,102,211,2,1
5d75152add07cce828f87543,1,102,211,2,1
5d75152add07cce828f8754c,1,102,211,2,1
5d75152add07cce828f8754e,1,102,211,2,1
5d75152add07cce828f87585,1,102,211,2,1
5d75152add07cce828f8758f,1,102,211,-1,1
5d75152add07cce828f87593,1,102,211,2,1
5d75152add07cce828f87597,1,102,211,2,1
5d75152add07cce828f875a4,1,102,211,2,1
5d75152add07cce828f875bf,1,102,211,2,1
5d75152add07cce828f875c9,1,102,211,2,1
5d75152add07cce828f875dd,1,102,211,2,1
5d75152add07cce828f875f4,1,102,211,2,1
5d75152add07cce828f875f6,1,102,211,2,1
5d75152add07cce828f875f9,1,102,211,2,1
5d75152add07cce828f87608,1,102,211,2,1
