_id,user_community,tweet_community,ecommerce_community,blog_community,label
5d6352daea309cc86a3de7ac,0,0,-1,-2,-1
5d6352efea309cc86a3de842,0,0,13,-1,-1
5d63530bea309cc86a3debaa,8,0,23,-1,-1
5d635317ea309cc86a3debf7,0,-2,-1,-2,-1
5d635326ea309cc86a3decf3,0,-2,-1,-2,-1
5d63532fea309cc86a3ded40,0,-2,-1,-2,-1
5d63535cea309cc86a3defb1,0,-2,-1,-2,-1
5d635373ea309cc86a3df1f1,10,-2,-1,-2,-1
5d635377ea309cc86a3df4e8,4,0,48,32,-1
5d63537aea309cc86a3df53a,0,-2,-1,-2,-1
5d63538aea309cc86a3df5b0,0,-2,-1,5,-1
5d635396ea309cc86a3df66b,0,-1,55,47,-1
5d6353c1ea309cc86a3dfbe8,0,-2,-1,-2,-1
5d6353d1ea309cc86a3dffb3,3,-2,-1,-2,-1
5d6353daea309cc86a3dffd3,4,0,70,-2,-1
5d635423ea309cc86a3e0667,11,-1,82,-1,-1
5d635444ea309cc86a3e0bca,7,-1,87,16,-1
5d63544cea309cc86a3e0bf1,5,-2,-1,-2,-1
5d635460ea309cc86a3e0cc4,0,-2,-1,-2,-1
5d635468ea309cc86a3e0cd4,5,-2,-1,-2,-1
5d6354f0ea309cc86a3e10f7,3,0,86,-1,-1
5d6354f9ea309cc86a3e1117,5,0,63,-1,-1
5d63552cea309cc86a3e12f0,5,-2,-1,-2,-1
5d63553cea309cc86a3e13d0,0,0,-1,-2,-1
5d635551ea309cc86a3e14a2,0,-2,-1,-2,-1
5d635552ea309cc86a3e14a3,0,0,10,27,-1
5d63557aea309cc86a3e207d,5,-2,-1,-2,-1
5d6355ddea309cc86a3e2f1b,0,-2,-1,-2,-1
5d635600ea309cc86a3e3169,0,-1,117,-2,-1
5d648f707d7dbe4bc4879c3d,10,-2,-1,-2,-1
5d648f717d7dbe4bc4879d58,0,-2,-1,-2,-1
5d648f717d7dbe4bc4879e82,16,-2,-1,-2,-1
5d648f717d7dbe4bc4879ea7,26,0,78,5,-1
5d648f717d7dbe4bc4879ebd,0,-2,-1,-2,-1
5d648f727d7dbe4bc4879f5c,0,86,188,25,-1
5d648f737d7dbe4bc487a214,36,-1,155,-2,-1
5d648f737d7dbe4bc487a21e,0,-2,-1,-2,-1
5d648f737d7dbe4bc487a225,0,-2,-1,-2,-1
5d648f737d7dbe4bc487a258,0,-2,-1,-2,-1
5d648f737d7dbe4bc487a2a3,2,-2,-1,5,-1
5d648f737d7dbe4bc487a34c,12,-2,-1,18,-1
5d648f747d7dbe4bc487a4f0,6,-2,-1,-2,-1
5d648f747d7dbe4bc487a589,11,-1,147,-2,-1
5d648f747d7dbe4bc487a588,6,-2,-1,-2,-1
5d635725ea309cc86a3e62ad,5,0,55,5,-1
5d63573fea309cc86a3e6348,0,-1,23,-2,-1
