_id,user_community,tweet_community,ecommerce_community,blog_community,label
5d6352d1ea309cc86a3de779,0,-2,-1,-2,-1
5d63536aea309cc86a3df13d,0,-1,44,4,-1
5d63538aea309cc86a3df5b0,0,-2,-1,5,-1
5d6353a0ea309cc86a3df678,4,0,56,1,-1
5d6353a4ea309cc86a3df837,0,6,57,-2,-1
5d6353acea309cc86a3df8a3,0,-1,61,-2,-1
5d6353dbea309cc86a3dfffa,3,-2,-1,-2,-1
5d6353e0ea309cc86a3dfffd,3,-1,16,-2,-1
5d635472ea309cc86a3e0cea,5,-2,-1,-2,-1
5d63547aea309cc86a3e0cf2,5,-2,-1,-2,-1
5d635486ea309cc86a3e0d2a,5,-2,-1,-2,-1
5d6354b0ea309cc86a3e0e6f,4,-1,45,5,-1
5d6354bfea309cc86a3e0edf,0,-1,104,-1,-1
5d6354eaea309cc86a3e108c,5,-2,-1,-2,-1
5d635538ea309cc86a3e13ba,0,-1,33,-2,-1
5d635551ea309cc86a3e14a2,0,-2,-1,-2,-1
5d63556eea309cc86a3e1e4f,5,-2,-1,-2,-1
5d6355d1ea309cc86a3e2ef6,0,0,-1,-2,-1
5d6355f6ea309cc86a3e314d,0,-2,-1,-2,-1
5d635659ea309cc86a3e45fc,5,0,120,5,-1
5d63565bea309cc86a3e4626,0,-1,67,-1,-1
5d6356f4ea309cc86a3e6166,5,-2,-1,-2,-1
5d6356fbea309cc86a3e616b,0,-1,27,-1,-1
5d648f707d7dbe4bc4879b7c,18,-2,-1,-2,-1
5d648f707d7dbe4bc4879baf,0,-2,-1,-1,-1
5d648f707d7dbe4bc4879c45,11,-2,-1,-2,-1
5d648f707d7dbe4bc4879c55,3,-2,36,-1,-1
5d648f717d7dbe4bc4879d67,11,-2,147,1,-1
5d648f717d7dbe4bc4879d72,0,-2,-1,-2,-1
5d648f717d7dbe4bc4879e6f,0,-2,-1,-2,-1
5d648f717d7dbe4bc4879e70,0,-2,-1,-2,-1
5d648f717d7dbe4bc4879e91,0,-2,44,5,-1
5d648f717d7dbe4bc4879ed3,12,-2,-1,-2,-1
5d648f727d7dbe4bc4879ff7,0,0,115,-2,-1
5d648f727d7dbe4bc487a09b,0,84,169,3,-1
5d648f727d7dbe4bc487a0ac,0,-2,-1,-2,-1
5d648f727d7dbe4bc487a0e1,0,-2,-1,-2,-1
5d648f727d7dbe4bc487a168,2,-1,165,10,-1
5d648f727d7dbe4bc487a177,4,-1,157,-1,-1
5d648f727d7dbe4bc487a185,1,-2,-1,-2,-1
5d648f737d7dbe4bc487a20b,4,-2,-1,-2,-1
5d648f737d7dbe4bc487a227,12,-2,-1,-2,-1
5d648f737d7dbe4bc487a22b,12,-2,-1,-2,-1
5d648f737d7dbe4bc487a25a,0,-2,-1,-2,-1
5d648f737d7dbe4bc487a259,0,-2,-1,-2,-1
5d648f737d7dbe4bc487a270,30,-2,-1,-2,-1
5d648f737d7dbe4bc487a277,28,-2,-1,-2,-1
5d648f737d7dbe4bc487a338,12,-2,-1,-2,-1
5d648f737d7dbe4bc487a366,6,-2,-1,-2,-1
5d648f747d7dbe4bc487a4ed,28,-2,-1,-2,-1
5d648f747d7dbe4bc487a502,0,-2,-1,-2,-1
5d63572aea309cc86a3e62b8,5,-2,-1,-2,-1
5d635768ea309cc86a3e6441,31,-1,12,1,-1
5d635784ea309cc86a3e653d,5,-2,-1,-2,-1
5d63578dea309cc86a3e655f,5,-2,-1,-2,-1
5d6357b2ea309cc86a3e67fb,0,-1,75,-2,-1
5d6357d2ea309cc86a3e6a47,5,-1,57,18,-1
5d6357d5ea309cc86a3e6ab9,5,-2,-1,-2,-1
5d63585aea309cc86a3e7135,11,-1,106,-1,-1
5d635872ea309cc86a3e7359,5,-2,-1,-2,-1
5d63586aea309cc86a3e7353,5,-2,-1,-2,-1
5d635eab4285a7c33176bbd3,5,-2,-1,-2,-1
5d635eba4285a7c33176bd82,0,-1,24,-2,-1
5d635ec34285a7c33176bd99,5,-2,-1,-2,-1
5d635ecb4285a7c33176bed8,5,0,-1,-2,-1
5d635f044285a7c33176c613,0,-2,-1,-2,-1
5d635f344285a7c33176cbd4,0,-2,-1,-2,-1
5d635f784285a7c33176d473,26,0,159,-1,-1
5d635f7b4285a7c33176d513,0,0,32,-1,-1
5d635f924285a7c33176d84b,0,-1,14,-1,-1
5d635f954285a7c33176d8d4,0,-2,-1,-2,-1
5d635f9b4285a7c33176db84,0,0,165,-1,-1
5d635f9e4285a7c33176dc54,3,-1,44,-1,-1
5d635fc34285a7c33176dd87,0,-2,-1,-2,-1
5d635fc54285a7c33176dd89,4,-1,73,5,-1
5d635fdd4285a7c33176df56,0,-1,47,-1,-1
5d635ff04285a7c33176e234,28,0,39,-1,-1
5d635ff54285a7c33176e4c0,0,0,170,32,-1
5d6360104285a7c33176e7bc,0,-2,-1,-2,-1
5d63601c4285a7c33176e9b1,16,-1,77,-1,-1
5d6360314285a7c33176ef05,9,-1,177,-2,-1
5d6360474285a7c33176f0eb,4,0,179,-1,-1
5d648f747d7dbe4bc487a771,0,0,42,-1,-1
5d648f757d7dbe4bc487a7f5,11,-2,-1,-2,-1
5d648f757d7dbe4bc487a8e4,0,-2,-1,-2,-1
5d648f757d7dbe4bc487a8ea,11,-2,-1,-2,-1
5d648f757d7dbe4bc487a99b,31,-2,-1,-2,-1
5d648f757d7dbe4bc487a9b7,13,-2,-1,-2,-1
5d648f757d7dbe4bc487a9be,31,0,187,-2,-1
5d648f767d7dbe4bc487aa60,3,0,-1,-2,-1
5d648f767d7dbe4bc487aa76,31,-2,-1,-2,-1
5d648f767d7dbe4bc487aa81,6,-2,-1,-2,-1
5d648f767d7dbe4bc487abf6,9,-2,-1,-2,-1
5d648f777d7dbe4bc487ac9d,4,-2,-1,-2,-1
5d648f777d7dbe4bc487aca4,13,-2,-1,-2,-1
5d648f777d7dbe4bc487ad3d,6,-2,-1,-2,-1
5d648f787d7dbe4bc487b11c,6,-2,-1,-2,-1
5d648f787d7dbe4bc487b127,28,-2,-1,-2,-1
5d648f787d7dbe4bc487b12f,8,-2,-1,-2,-1
5d648f797d7dbe4bc487b38b,4,-1,34,-2,-1
5d6360754285a7c33176f589,11,-2,-1,-2,-1
5d648f797d7dbe4bc487b5e1,0,-2,-1,-2,-1
5d63606f4285a7c33176f542,20,-2,-1,-2,-1
5d6360764285a7c33176f58a,0,-2,-1,-2,-1
5d6360784285a7c33176f58b,4,0,110,-2,-1
5d6360874285a7c331770053,11,0,2,-2,-1
5d6360934285a7c331770373,11,0,6,-1,-1
5d6360b24285a7c331770e17,4,-1,137,-2,-1
5d63611f4285a7c331777bdd,4,-1,98,-2,-1
5d63612b4285a7c331777f8d,11,0,-1,-2,-1
5d6361314285a7c331778216,4,-1,40,-2,-1
5d6361464285a7c331778539,0,0,168,-2,-1
5d6362084285a7c33177d9ba,11,-1,162,5,-1
5d63623e4285a7c33177f811,3,-2,-1,-2,-1
5d6362b44285a7c331786d16,0,-1,36,5,-1
5d6363084285a7c3317895ed,11,-1,40,-2,-1
5d63631b4285a7c331789d75,11,-1,122,-1,-1
5d6363754285a7c33178d4cf,11,-2,-1,-2,-1
5d6363864285a7c33178da3d,11,-1,-1,-2,-1
5d6363964285a7c33178e2f7,0,-2,-1,-2,-1
5d6363974285a7c33178e2f8,4,0,120,5,-1
5d6363c84285a7c33179057b,4,-2,-1,-2,-1
5d648f797d7dbe4bc487b66b,0,-2,-1,-2,-1
5d648f797d7dbe4bc487b679,0,-2,-1,-2,-1
5d648f7a7d7dbe4bc487b700,4,0,28,-2,-1
5d648f7a7d7dbe4bc487b710,4,0,133,5,-1
5d648f7a7d7dbe4bc487b80d,0,-2,-1,-2,-1
5d648f7a7d7dbe4bc487b861,8,-2,-1,-2,-1
5d648f7b7d7dbe4bc487b90a,7,-2,-1,-2,-1
5d648f7b7d7dbe4bc487b95b,11,-2,-1,-2,-1
5d648f7b7d7dbe4bc487b967,8,-2,-1,-2,-1
5d648f7b7d7dbe4bc487b985,0,0,24,-2,-1
5d648f7b7d7dbe4bc487bb2c,0,-2,-1,-2,-1
5d648f7c7d7dbe4bc487bb8e,17,-1,66,-2,-1
5d648f7c7d7dbe4bc487bbb9,38,-2,-1,-2,-1
5d648f7c7d7dbe4bc487bccb,19,0,139,-2,-1
5d648f7c7d7dbe4bc487bd30,38,-2,-1,-2,-1
5d648f7c7d7dbe4bc487bd8f,28,-2,-1,-2,-1
5d648f7d7d7dbe4bc487be2e,19,-1,188,-1,-1
5d648f7d7d7dbe4bc487be97,3,-2,-1,-2,-1
5d648f7d7d7dbe4bc487bf54,33,-2,-1,-2,-1
5d648f7d7d7dbe4bc487bf6c,3,-2,-1,-2,-1
5d648f7e7d7dbe4bc487bfee,0,-2,-1,-2,-1
5d648f7e7d7dbe4bc487bfef,0,-2,-1,-2,-1
5d648f7e7d7dbe4bc487c005,0,-2,-1,-2,-1
5d648f7e7d7dbe4bc487c05e,0,-2,-1,-2,-1
5d648f7e7d7dbe4bc487c05f,3,-2,-1,-2,-1
5d648f7e7d7dbe4bc487c063,13,-2,-1,-2,-1
5d648f7e7d7dbe4bc487c07b,38,0,68,25,-1
5d648f7e7d7dbe4bc487c096,0,-2,-1,-2,-1
